symbol,code,name,exchange,board,list_date,industry
600000.SH,600000,浦发银行,SH,主板,1999-11-10,
600004.SH,600004,白云机场,SH,主板,2003-04-28,
600006.SH,600006,东风股份,SH,主板,1999-07-27,
600007.SH,600007,中国国贸,SH,主板,1999-03-12,
600008.SH,600008,首创环保,SH,主板,2000-04-27,
600009.SH,600009,上海机场,SH,主板,1998-02-18,
600010.SH,600010,包钢股份,SH,主板,2001-03-09,
600011.SH,600011,华能国际,SH,主板,2001-12-06,
600012.SH,600012,皖通高速,SH,主板,2003-01-07,
600015.SH,600015,华夏银行,SH,主板,2003-09-12,
600016.SH,600016,民生银行,SH,主板,2000-12-19,
600017.SH,600017,日照港,SH,主板,2006-10-17,
600018.SH,600018,上港集团,SH,主板,2000-07-19,
600019.SH,600019,宝钢股份,SH,主板,2000-12-12,
600020.SH,600020,中原高速,SH,主板,2003-08-08,
600021.SH,600021,上海电力,SH,主板,2003-10-29,
600022.SH,600022,山东钢铁,SH,主板,2004-06-29,
600023.SH,600023,浙能电力,SH,主板,2013-12-19,
600025.SH,600025,华能水电,SH,主板,2017-12-15,
600026.SH,600026,中远海能,SH,主板,2002-05-23,
600027.SH,600027,华电国际,SH,主板,2005-02-03,
600028.SH,600028,中国石化,SH,主板,2001-08-08,
600029.SH,600029,南方航空,SH,主板,2003-07-25,
600030.SH,600030,中信证券,SH,主板,2003-01-06,
600031.SH,600031,三一重工,SH,主板,2003-07-03,
600032.SH,600032,浙江新能,SH,主板,2021-05-25,
600033.SH,600033,福建高速,SH,主板,2001-02-09,
600035.SH,600035,楚天高速,SH,主板,2004-03-10,
600036.SH,600036,招商银行,SH,主板,2002-04-09,
600037.SH,600037,歌华有线,SH,主板,2001-02-08,
600038.SH,600038,中直股份,SH,主板,2000-12-18,
600039.SH,600039,四川路桥,SH,主板,2003-03-25,
600048.SH,600048,保利发展,SH,主板,2006-07-31,
600050.SH,600050,中国联通,SH,主板,2002-10-09,
600051.SH,600051,宁波联合,SH,主板,1997-04-10,
600052.SH,600052,东望时代,SH,主板,1997-04-15,
600053.SH,600053,*ST九鼎,SH,主板,1997-04-18,
600054.SH,600054,黄山旅游,SH,主板,1997-05-06,
600055.SH,600055,万东医疗,SH,主板,1997-05-19,
600056.SH,600056,中国医药,SH,主板,1997-05-15,
600057.SH,600057,厦门象屿,SH,主板,1997-06-04,
600058.SH,600058,五矿发展,SH,主板,1997-05-28,
600059.SH,600059,古越龙山,SH,主板,1997-05-16,
600060.SH,600060,海信视像,SH,主板,1997-04-22,
600061.SH,600061,国投资本,SH,主板,1997-05-19,
600062.SH,600062,华润双鹤,SH,主板,1997-05-22,
600063.SH,600063,皖维高新,SH,主板,1997-05-28,
600064.SH,600064,南京高科,SH,主板,1997-05-06,
600066.SH,600066,宇通客车,SH,主板,1997-05-08,
600067.SH,600067,冠城新材,SH,主板,1997-05-08,
600071.SH,600071,凤凰光学,SH,主板,1997-05-28,
600072.SH,600072,中船科技,SH,主板,1997-06-03,
600073.SH,600073,光明肉业,SH,主板,1997-07-04,
600075.SH,600075,新疆天业,SH,主板,1997-06-17,
600076.SH,600076,康欣新材,SH,主板,1997-05-26,
600078.SH,600078,澄星股份,SH,主板,1997-06-27,
600079.SH,600079,ST人福,SH,主板,1997-06-06,
600080.SH,600080,ST金花,SH,主板,1997-06-12,
600081.SH,600081,东风科技,SH,主板,1997-07-03,
600082.SH,600082,ST海泰,SH,主板,1997-06-20,
600084.SH,600084,*ST尼雅,SH,主板,1997-07-11,
600085.SH,600085,同仁堂,SH,主板,1997-06-25,
600088.SH,600088,中视传媒,SH,主板,1997-06-16,
600089.SH,600089,特变电工,SH,主板,1997-06-18,
600094.SH,600094,大名城,SH,主板,1997-07-03,
600095.SH,600095,湘财股份,SH,主板,1997-07-08,
600096.SH,600096,云天化,SH,主板,1997-07-09,
600097.SH,600097,开创国际,SH,主板,1997-06-19,
600098.SH,600098,广州发展,SH,主板,1997-07-18,
600099.SH,600099,林海股份,SH,主板,1997-07-04,
600100.SH,600100,同方股份,SH,主板,1997-06-27,
600101.SH,600101,明星电力,SH,主板,1997-06-27,
600103.SH,600103,青山纸业,SH,主板,1997-07-03,
600104.SH,600104,上汽集团,SH,主板,1997-11-25,
600105.SH,600105,永鼎股份,SH,主板,1997-09-29,
600106.SH,600106,重庆路桥,SH,主板,1997-06-18,
600107.SH,600107,ST尔雅,SH,主板,1997-11-06,
600108.SH,600108,亚盛集团,SH,主板,1997-08-18,
600109.SH,600109,国金证券,SH,主板,1997-08-07,
600110.SH,600110,诺德股份,SH,主板,1997-10-07,
600111.SH,600111,北方稀土,SH,主板,1997-09-24,
600113.SH,600113,浙江东日,SH,主板,1997-10-21,
600114.SH,600114,东睦股份,SH,主板,2004-05-11,
600115.SH,600115,中国东航,SH,主板,1997-11-05,
600116.SH,600116,三峡水利,SH,主板,1997-08-04,
600117.SH,600117,西宁特钢,SH,主板,1997-10-15,
600118.SH,600118,中国卫星,SH,主板,1997-09-08,
600119.SH,600119,*ST长投,SH,主板,1998-01-15,
600120.SH,600120,浙江东方,SH,主板,1997-12-01,
600121.SH,600121,郑州煤电,SH,主板,1998-01-07,
600123.SH,600123,兰花科创,SH,主板,1998-12-17,
600125.SH,600125,铁龙物流,SH,主板,1998-05-11,
600126.SH,600126,杭钢股份,SH,主板,1998-03-11,
600127.SH,600127,金健米业,SH,主板,1998-05-06,
600128.SH,600128,苏豪弘业,SH,主板,1997-09-01,
600129.SH,600129,太极集团,SH,主板,1997-11-18,
600130.SH,600130,波导股份,SH,主板,2000-07-06,
600131.SH,600131,国网信通,SH,主板,1998-04-02,
600132.SH,600132,重庆啤酒,SH,主板,1997-10-30,
600133.SH,600133,东湖高新,SH,主板,1998-02-12,
600135.SH,600135,乐凯胶片,SH,主板,1998-01-22,
600136.SH,600136,ST明诚,SH,主板,1998-03-03,
600137.SH,600137,浪莎股份,SH,主板,1998-04-16,
600138.SH,600138,中青旅,SH,主板,1997-12-03,
600141.SH,600141,兴发集团,SH,主板,1999-06-16,
600143.SH,600143,金发科技,SH,主板,2004-06-23,
600148.SH,600148,长春一东,SH,主板,1998-05-20,
600149.SH,600149,廊坊发展,SH,主板,1999-10-14,
600150.SH,600150,中国船舶,SH,主板,1998-05-20,
600151.SH,600151,航天机电,SH,主板,1998-06-05,
600152.SH,600152,维科技术,SH,主板,1998-06-09,
600153.SH,600153,建发股份,SH,主板,1998-06-16,
600155.SH,600155,华创云信,SH,主板,1998-09-18,
600156.SH,600156,华升股份,SH,主板,1998-05-27,
600157.SH,600157,永泰能源,SH,主板,1998-05-13,
600158.SH,600158,中体产业,SH,主板,1998-03-27,
600159.SH,600159,大龙地产,SH,主板,1998-05-26,
600160.SH,600160,巨化股份,SH,主板,1998-06-26,
600161.SH,600161,天坛生物,SH,主板,1998-06-16,
600162.SH,600162,香江控股,SH,主板,1998-06-09,
600163.SH,600163,中闽能源,SH,主板,1998-06-02,
600165.SH,600165,ST宁科,SH,主板,1998-05-29,
600166.SH,600166,福田汽车,SH,主板,1998-06-02,
600167.SH,600167,联美控股,SH,主板,1999-01-28,
600168.SH,600168,武汉控股,SH,主板,1998-04-27,
600169.SH,600169,ST太重,SH,主板,1998-09-04,
600170.SH,600170,上海建工,SH,主板,1998-06-23,
600171.SH,600171,上海贝岭,SH,主板,1998-09-24,
600172.SH,600172,黄河旋风,SH,主板,1998-11-26,
600173.SH,600173,卧龙新能,SH,主板,1999-04-15,
600176.SH,600176,中国巨石,SH,主板,1999-04-22,
600177.SH,600177,雅戈尔,SH,主板,1998-11-19,
600178.SH,600178,东安动力,SH,主板,1998-10-14,
600179.SH,600179,安通控股,SH,主板,1998-11-04,
600180.SH,600180,*ST瑞茂,SH,主板,1998-07-03,
600182.SH,600182,S佳通,SH,主板,1999-05-07,
600183.SH,600183,生益科技,SH,主板,1998-10-28,
600184.SH,600184,光电股份,SH,主板,2003-11-06,
