symbol,code,name,exchange,board,list_date,industry,sample_group
920014.BJ,920014,特瑞斯,BJ,北交所,2022-12-13,专用设备制造业,BJ_北交所
920019.BJ,920019,铜冠矿建,BJ,北交所,2024-10-11,开采专业及辅助性活动,BJ_北交所
920075.BJ,920075,柏星龙,BJ,北交所,2022-12-14,印刷和记录媒介复制业,BJ_北交所
920145.BJ,920145,恒合股份,BJ,北交所,2021-11-15,仪器仪表制造业,BJ_北交所
920212.BJ,920212,智新电子,BJ,北交所,2021-06-08,计算机、通信和其他电子设备制造业,BJ_北交所
920221.BJ,920221,易实精密,BJ,北交所,2023-06-08,汽车制造业,BJ_北交所
920260.BJ,920260,中寰股份,BJ,北交所,2021-11-15,仪器仪表制造业,BJ_北交所
920363.BJ,920363,莱赛激光,BJ,北交所,2023-12-28,仪器仪表制造业,BJ_北交所
920395.BJ,920395,朗鸿科技,BJ,北交所,2022-09-01,计算机、通信和其他电子设备制造业,BJ_北交所
920405.BJ,920405,海希通讯,BJ,北交所,2021-11-05,仪器仪表制造业,BJ_北交所
920419.BJ,920419,路斯股份,BJ,北交所,2022-03-11,农副食品加工业,BJ_北交所
920662.BJ,920662,方盛股份,BJ,北交所,2022-11-28,通用设备制造业,BJ_北交所
920718.BJ,920718,合肥高科,BJ,北交所,2022-12-22,电气机械和器材制造业,BJ_北交所
920808.BJ,920808,曙光数创,BJ,北交所,2022-11-18,通用设备制造业,BJ_北交所
920809.BJ,920809,安达科技,BJ,北交所,2023-03-23,计算机、通信和其他电子设备制造业,BJ_北交所
920834.BJ,920834,三维装备,BJ,北交所,2022-08-22,通用设备制造业,BJ_北交所
920855.BJ,920855,浙江大农,BJ,北交所,2022-12-29,通用设备制造业,BJ_北交所
920950.BJ,920950,迅安科技,BJ,北交所,2023-01-11,专用设备制造业,BJ_北交所
920971.BJ,920971,XD天马新,BJ,北交所,2022-09-27,计算机、通信和其他电子设备制造业,BJ_北交所
