symbol,name,exchange,board,sample_group,rows,expected_trade_days,missing_trade_days,first_date,last_date,missing_dates
920014.BJ,特瑞斯,BJ,北交所,BJ_北交所,300,300,0,2025-02-07,2026-04-30,
920019.BJ,铜冠矿建,BJ,北交所,BJ_北交所,300,300,0,2025-02-07,2026-04-30,
920075.BJ,柏星龙,BJ,北交所,BJ_北交所,300,300,0,2025-02-07,2026-04-30,
920145.BJ,恒合股份,BJ,北交所,BJ_北交所,300,300,0,2025-02-07,2026-04-30,
920212.BJ,智新电子,BJ,北交所,BJ_北交所,300,300,0,2025-02-07,2026-04-30,
920221.BJ,易实精密,BJ,北交所,BJ_北交所,300,300,0,2025-02-07,2026-04-30,
920260.BJ,中寰股份,BJ,北交所,BJ_北交所,300,300,0,2025-02-07,2026-04-30,
920363.BJ,莱赛激光,BJ,北交所,BJ_北交所,300,300,0,2025-02-07,2026-04-30,
920395.BJ,朗鸿科技,BJ,北交所,BJ_北交所,300,300,0,2025-02-07,2026-04-30,
920405.BJ,海希通讯,BJ,北交所,BJ_北交所,300,300,0,2025-02-07,2026-04-30,
920419.BJ,路斯股份,BJ,北交所,BJ_北交所,300,300,0,2025-02-07,2026-04-30,
920427.BJ,华维设计,BJ,北交所,BJ_北交所,300,300,0,2025-02-07,2026-04-30,
920662.BJ,方盛股份,BJ,北交所,BJ_北交所,300,300,0,2025-02-07,2026-04-30,
920718.BJ,合肥高科,BJ,北交所,BJ_北交所,300,300,0,2025-02-07,2026-04-30,
920809.BJ,安达科技,BJ,北交所,BJ_北交所,300,300,0,2025-02-07,2026-04-30,
920834.BJ,三维装备,BJ,北交所,BJ_北交所,300,300,0,2025-02-07,2026-04-30,
920855.BJ,浙江大农,BJ,北交所,BJ_北交所,300,300,0,2025-02-07,2026-04-30,
920950.BJ,迅安科技,BJ,北交所,BJ_北交所,300,300,0,2025-02-07,2026-04-30,
920971.BJ,XD天马新,BJ,北交所,BJ_北交所,300,300,0,2025-02-07,2026-04-30,
920981.BJ,晶赛科技,BJ,北交所,BJ_北交所,300,300,0,2025-02-07,2026-04-30,
600172.SH,黄河旋风,SH,主板,SH_主板,300,300,0,2025-02-07,2026-04-30,
600295.SH,鄂尔多斯,SH,主板,SH_主板,300,300,0,2025-02-07,2026-04-30,
600369.SH,西南证券,SH,主板,SH_主板,300,300,0,2025-02-07,2026-04-30,
600490.SH,鹏欣资源,SH,主板,SH_主板,300,300,0,2025-02-07,2026-04-30,
600515.SH,海南机场,SH,主板,SH_主板,300,300,0,2025-02-07,2026-04-30,
600765.SH,中航重机,SH,主板,SH_主板,300,300,0,2025-02-07,2026-04-30,
600993.SH,马应龙,SH,主板,SH_主板,300,300,0,2025-02-07,2026-04-30,
601886.SH,XD江河集,SH,主板,SH_主板,300,300,0,2025-02-07,2026-04-30,
603013.SH,亚普股份,SH,主板,SH_主板,300,300,0,2025-02-07,2026-04-30,
603059.SH,倍加洁,SH,主板,SH_主板,300,300,0,2025-02-07,2026-04-30,
603069.SH,海汽集团,SH,主板,SH_主板,300,300,0,2025-02-07,2026-04-30,
603079.SH,圣达生物,SH,主板,SH_主板,300,300,0,2025-02-07,2026-04-30,
603085.SH,天成自控,SH,主板,SH_主板,300,300,0,2025-02-07,2026-04-30,
603393.SH,新天然气,SH,主板,SH_主板,300,300,0,2025-02-07,2026-04-30,
603488.SH,展鹏科技,SH,主板,SH_主板,300,300,0,2025-02-07,2026-04-30,
603589.SH,口子窖,SH,主板,SH_主板,300,300,0,2025-02-07,2026-04-30,
603689.SH,皖天然气,SH,主板,SH_主板,300,300,0,2025-02-07,2026-04-30,
603797.SH,联泰环保,SH,主板,SH_主板,300,300,0,2025-02-07,2026-04-30,
603833.SH,欧派家居,SH,主板,SH_主板,300,300,0,2025-02-07,2026-04-30,
603917.SH,合力科技,SH,主板,SH_主板,300,300,0,2025-02-07,2026-04-30,
688004.SH,博汇科技,SH,科创板,SH_科创板,300,300,0,2025-02-07,2026-04-30,
688026.SH,洁特生物,SH,科创板,SH_科创板,300,300,0,2025-02-07,2026-04-30,
688127.SH,蓝特光学,SH,科创板,SH_科创板,300,300,0,2025-02-07,2026-04-30,
688148.SH,芳源股份,SH,科创板,SH_科创板,300,300,0,2025-02-07,2026-04-30,
688160.SH,步科股份,SH,科创板,SH_科创板,300,300,0,2025-02-07,2026-04-30,
688220.SH,翱捷科技,SH,科创板,SH_科创板,300,300,0,2025-02-07,2026-04-30,
688256.SH,寒武纪,SH,科创板,SH_科创板,300,300,0,2025-02-07,2026-04-30,
688281.SH,华秦科技,SH,科创板,SH_科创板,300,300,0,2025-02-07,2026-04-30,
688387.SH,信科移动,SH,科创板,SH_科创板,300,300,0,2025-02-07,2026-04-30,
688432.SH,有研硅,SH,科创板,SH_科创板,300,300,0,2025-02-07,2026-04-30,
688450.SH,光格科技,SH,科创板,SH_科创板,300,300,0,2025-02-07,2026-04-30,
688489.SH,三未信安,SH,科创板,SH_科创板,300,300,0,2025-02-07,2026-04-30,
688502.SH,茂莱光学,SH,科创板,SH_科创板,300,300,0,2025-02-07,2026-04-30,
688539.SH,高华科技,SH,科创板,SH_科创板,300,300,0,2025-02-07,2026-04-30,
688627.SH,精智达,SH,科创板,SH_科创板,300,300,0,2025-02-07,2026-04-30,
688681.SH,科汇股份,SH,科创板,SH_科创板,300,300,0,2025-02-07,2026-04-30,
688686.SH,奥普特,SH,科创板,SH_科创板,300,300,0,2025-02-07,2026-04-30,
688702.SH,盛科通信,SH,科创板,SH_科创板,300,300,0,2025-02-07,2026-04-30,
688767.SH,博拓生物,SH,科创板,SH_科创板,300,300,0,2025-02-07,2026-04-30,
688789.SH,宏华数科,SH,科创板,SH_科创板,300,300,0,2025-02-07,2026-04-30,
000002.SZ,万  科Ａ,SZ,主板,SZ_主板,300,300,0,2025-02-07,2026-04-30,
000059.SZ,华锦股份,SZ,主板,SZ_主板,300,300,0,2025-02-07,2026-04-30,
000510.SZ,新金路,SZ,主板,SZ_主板,300,300,0,2025-02-07,2026-04-30,
000582.SZ,北部湾港,SZ,主板,SZ_主板,300,300,0,2025-02-07,2026-04-30,
000726.SZ,鲁  泰Ａ,SZ,主板,SZ_主板,300,300,0,2025-02-07,2026-04-30,
000830.SZ,鲁西化工,SZ,主板,SZ_主板,300,300,0,2025-02-07,2026-04-30,
000893.SZ,亚钾国际,SZ,主板,SZ_主板,300,300,0,2025-02-07,2026-04-30,
000951.SZ,中国重汽,SZ,主板,SZ_主板,300,300,0,2025-02-07,2026-04-30,
000968.SZ,蓝焰控股,SZ,主板,SZ_主板,300,300,0,2025-02-07,2026-04-30,
000970.SZ,中科三环,SZ,主板,SZ_主板,300,300,0,2025-02-07,2026-04-30,
001210.SZ,金房能源,SZ,主板,SZ_主板,300,300,0,2025-02-07,2026-04-30,
001296.SZ,长江材料,SZ,主板,SZ_主板,300,300,0,2025-02-07,2026-04-30,
002264.SZ,新 华 都,SZ,主板,SZ_主板,300,300,0,2025-02-07,2026-04-30,
002307.SZ,北新路桥,SZ,主板,SZ_主板,300,300,0,2025-02-07,2026-04-30,
002613.SZ,北玻股份,SZ,主板,SZ_主板,300,300,0,2025-02-07,2026-04-30,
002627.SZ,三峡旅游,SZ,主板,SZ_主板,300,300,0,2025-02-07,2026-04-30,
002858.SZ,力盛体育,SZ,主板,SZ_主板,300,300,0,2025-02-07,2026-04-30,
002909.SZ,集泰股份,SZ,主板,SZ_主板,300,300,0,2025-02-07,2026-04-30,
002966.SZ,苏州银行,SZ,主板,SZ_主板,300,300,0,2025-02-07,2026-04-30,
003037.SZ,三和管桩,SZ,主板,SZ_主板,300,300,0,2025-02-07,2026-04-30,
300012.SZ,华测检测,SZ,创业板,SZ_创业板,300,300,0,2025-02-07,2026-04-30,
300035.SZ,中科电气,SZ,创业板,SZ_创业板,300,300,0,2025-02-07,2026-04-30,
300085.SZ,银之杰,SZ,创业板,SZ_创业板,300,300,0,2025-02-07,2026-04-30,
300182.SZ,捷成股份,SZ,创业板,SZ_创业板,300,300,0,2025-02-07,2026-04-30,
300210.SZ,森远股份,SZ,创业板,SZ_创业板,300,300,0,2025-02-07,2026-04-30,
300243.SZ,瑞丰高材,SZ,创业板,SZ_创业板,300,300,0,2025-02-07,2026-04-30,
300249.SZ,依米康,SZ,创业板,SZ_创业板,300,300,0,2025-02-07,2026-04-30,
300261.SZ,雅本化学,SZ,创业板,SZ_创业板,300,300,0,2025-02-07,2026-04-30,
300350.SZ,华鹏飞,SZ,创业板,SZ_创业板,300,300,0,2025-02-07,2026-04-30,
300479.SZ,神思电子,SZ,创业板,SZ_创业板,300,300,0,2025-02-07,2026-04-30,
300573.SZ,兴齐眼药,SZ,创业板,SZ_创业板,300,300,0,2025-02-07,2026-04-30,
300668.SZ,杰恩股份,SZ,创业板,SZ_创业板,300,300,0,2025-02-07,2026-04-30,
300823.SZ,建科智能,SZ,创业板,SZ_创业板,300,300,0,2025-02-07,2026-04-30,
300829.SZ,金丹科技,SZ,创业板,SZ_创业板,300,300,0,2025-02-07,2026-04-30,
301051.SZ,信濠光电,SZ,创业板,SZ_创业板,300,300,0,2025-02-07,2026-04-30,
301138.SZ,华研精机,SZ,创业板,SZ_创业板,300,300,0,2025-02-07,2026-04-30,
301298.SZ,东利机械,SZ,创业板,SZ_创业板,300,300,0,2025-02-07,2026-04-30,
301397.SZ,溯联股份,SZ,创业板,SZ_创业板,300,300,0,2025-02-07,2026-04-30,
301500.SZ,飞南资源,SZ,创业板,SZ_创业板,300,300,0,2025-02-07,2026-04-30,
301607.SZ,富特科技,SZ,创业板,SZ_创业板,300,300,0,2025-02-07,2026-04-30,
